level		chinese		japanese		korean		pos
1	:	一括	:	いっかつ	:	일괄	:	noun
1	:	一気	:	いっき	:	일기, 한 번의 호흡, 단숨	:	noun
1	:	一挙	:	いっきょ	:	일거, 단번의 행동	:	noun
1	:	一見	:	いっけん	:	일견, 한번 봄,  언뜻 보기에	:	noun
1	:	一刻	:	いっこく	:	일각, 짧은 시간, 15분	:	noun
1	:	一切	:	いっさい	:	일체, 모두, 일절, 전혀	:	noun
1	:	一心	:	いっしん	:	일심, 한 가지 일에 전념	:	noun
1	:	一帯	:	いったい	:	일대, 일원, 한 줄기	:	noun
1	:	一変	:	いっぺん	:	일변	:	noun
1	:	逸材	:	いつざい	:	일재, 뛰어난 재능	:	noun
1	:	意図	:	いと	:	의도	:	noun
1	:	異動	:	いどう	:	이동	:	noun
1	:	稲光	:	いなびかり	:	번개.	:	noun
1	:	祈り·禱り	:	いのり	:	기도, 기원	:	noun
1	:	鼾	:	いびき	:	코고는 소리	:	noun
1	:	今更	:	いまさら	:	이제 와서, 새삼스러움	:	noun
1	:	移民	:	いみん	:	이민	:	noun
1	:	嫌味·厭味	:	いやみ	:	싫은 소리	:	noun
1	:	意欲·意慾	:	いよく	:	의욕	:	noun
1	:	依頼	:	いらい	:	의뢰, 부탁	:	noun
1	:	衣料	:	いりょう	:	의료, 의복의 재료	:	noun
1	:	威力	:	いりょく	:	위력	:	noun
1	:	衣類	:	いるい	:	의류	:	noun
1	:	色合(い)·色相	:	いろあい	:	색조, 성격·경향, 느낌	:	noun
1	:	異論	:	いろん	:	이론, 이의	:	noun
1	:	違和感	:	いわかん	:	위화감	:	noun
1	:	印鑑	:	いんかん	:	인감, 도장, 인장	:	noun
1	:	隠居	:	いんきょ	:	은거, 노인	:	noun
1	:	陰湿	:	いんしつ	:	음습, 응달지고 습기참	:	noun
1	:	引率	:	いんそつ	:	인솔	:	noun
1	:	受(け)入れ	:	うけいれ	:	받아들임, 수납함, 수입	:	noun
1	:	受(け)身	:	うけみ	:	수세, 수동태, 낙법	:	noun
1	:	受(け)持ち·受持	:	うけもち	:	담당함, 담당한 일, 담임	:	noun
1	:	動き	:	うごき	:	움직임	:	noun
1	:	渦	:	うず	:	소용돌이, 와중, 혼란	:	noun
1	:	嘘吐き	:	うそつき	:	거짓말쟁이, 거짓말을 함	:	noun
1	:	うたた寝·転寝	:	うたたね	:	선잠, 얕은 잠	:	noun
1	:	打(ち)消し	:	うちけし	:	부정하는 일	:	noun
1	:	団扇	:	うちわ	:	부채, 가문의 하나	:	noun
1	:	内訳	:	うちわけ	:	내역, 명세	:	noun
1	:	訴え	:	うったえ	:	호소, 소송	:	noun
1	:	写し	:	うつし	:	찍음, 박음, 베낌	:	noun
1	:	空ろ·虚ろ·洞	:	うつろ	:	속이 텅 빔, 얼빠진 모양	:	noun
1	:	器	:	うつわ	:	그릇, 용기, 도구, 기구	:	noun
1	:	雨天	:	うてん	:	우천, 비오는 날	:	noun
1	:	腕前	:	うでまえ	:	솜씨, 역량, 기량	:	noun
1	:	己惚れ·自惚れ	:	うぬぼれ	:	자만, 자부	:	noun
1	:	生(ま)れつき·生(ま)れ付き	:	うまれつき	:	타고난 것, 천성, 선천적	:	noun
1	:	裏返(し)	:	うらがえし	:	뒤집음, 또, 뒤집혀 있음	:	noun
1	:	売(り)出し	:	うりだし	:	팔기 시작함, 매출, 방매	:	noun
1	:	売れ筋	:	うれすじ	:	잘 팔리는 상품	:	noun
1	:	浮気	:	うわき	:	바람기, 변덕	:	noun
1	:	運営	:	うんえい	:	운영	:	noun
1	:	運送	:	うんそう	:	운송	:	noun
1	:	云云	:	うんぬん	:	운운	:	noun
1	:	運搬	:	うんぱん	:	운반	:	noun
1	:	運命	:	うんめい	:	운명	:	noun
1	:	運輸	:	うんゆ	:	운수, 수송	:	noun
1	:	運用	:	うんよう	:	운용	:	noun
1	:	柄	:	え	:	자루, 손잡이	:	noun
1	:	映写	:	えいしゃ	:	영사	:	noun
1	:	英字	:	えいじ	:	영자	:	noun
1	:	映像	:	えいぞう	:	영상	:	noun
1	:	英雄	:	えいゆう	:	영웅	:	noun
1	:	液	:	えき	:	액, 즙, 액체	:	noun
1	:	閲覧	:	えつらん	:	열람	:	noun
1	:	獲物	:	えもの	:	수렵물, 전리품	:	noun
1	:	襟·衿	:	えり	:	옷깃, 동정, 목덜미	:	noun
1	:	縁	:	えん	:	인연, 연분, 운명	:	noun
1	:	縁がわ·縁側	:	えんがわ	:	툇마루	:	noun
1	:	沿岸	:	えんがん	:	연안	:	noun
1	:	演出	:	えんしゅつ	:	연출	:	noun
1	:	沿線	:	えんせん	:	연선	:	noun
1	:	延滞	:	えんたい	:	연체	:	noun
1	:	縁談	:	えんだん	:	혼담	:	noun
1	:	遠方	:	えんぽう	:	원방, 먼 곳	:	noun
1	:	円満	:	えんまん	:	원만, 모자람이 없음	:	noun
1	:	尾	:	お	:	꼬리, 길게 뻗은 곳	:	noun
1	:	生(い)立ち	:	おいたち	:	성장함, 생장함, 자라남	:	noun
1	:	応急	:	おうきゅう	:	응급	:	noun
1	:	黄金	:	おうごん	:	황금, 돈, 매우 귀한 것	:	noun
1	:	往診	:	おうしん	:	왕진	:	noun
1	:	大がら·大柄	:	おおがら	:	형상 등이 보통보다 큼	:	noun
1	:	大筋	:	おおすじ	:	대강, 요점	:	noun
1	:	大空	:	おおぞら	:	대공, 넓은 하늘	:	noun
1	:	大幅·大巾	:	おおはば	:	큰 폭, 보통 폭의 두 배의 폭	:	noun
1	:	大水	:	おおみず	:	홍수, 큰물	:	noun
1	:	公	:	おおやけ	:	공, 조정, 공유, 정부	:	noun
1	:	臆病	:	おくびょう	:	겁이 많음	:	noun
1	:	遅れ	:	おくれ	:	늦음, 늦은 정도	:	noun
1	:	行(な)い	:	おこない	:	행실, 행위, 불공, 근행	:	noun
1	:	お産	:	おさん	:	아이를 낳음, 출산	:	noun
1	:	教え	:	おしえ	:	가르침, 교육, 교훈, 종교	:	noun
1	:	雄·牡	:	おす	:	수컷	:	noun
1	:	お世辞·御世辞	:	おせじ	:	알랑거리는 말	:	noun
1	:	落(ち)着き·落(ち)付き	:	おちつき	:	침착성, 차분함, 안정감	:	noun
1	:	落ち葉	:	おちば	:	낙엽, 황적색을 띤 갈색	:	noun
1	:	乙	:	おつ	:	을, 제2위, 멋짐, 특이함	:	noun
1	:	お使い	:	おつかい	:	장보기 따위로 잠시 외출함	:	noun
1	:	お手上げ	:	おてあげ	:	어쩔 도리가 없음, 손듦	:	noun
1	:	お供·お伴	:	おとも	:	모시고 따라감	:	noun
1	:	驚き·愕き	:	おどろき	:	놀람, 놀랄 일	:	noun
1	:	おない年·同い年	:	おないどし	:	동갑, 같은 나이	:	noun
1	:	覚え	:	おぼえ	:	기억, 이해, 배움, 경험	:	noun
1	:	お宮	:	おみや	:	신사	:	noun
1	:	御襁褓	:	おむつ	:	기저귀	:	noun
1	:	思いつき·思い付き	:	おもいつき	:	문득 생각이 남, 착상, 고안	:	noun
1	:	趣	:	おもむき	:	재미, 정취, 멋, 느낌, 의도	:	noun
1	:	思わく·思惑	:	おもわく	:	생각, 의도, 평판, 인기	:	noun
1	:	折(り)	:	おり	:	꺾음, 도시락, 나무 상자	:	noun
1	:	折	:	おり	:	때, 시기, 그때, 그 경우	:	noun
1	:	檻	:	おり	:	우리, 감방	:	noun
1	:	折(り)返し	:	おりかえし	:	반대편으로 꺾음, 반환	:	noun
1	:	織物	:	おりもの	:	직물	:	noun
1	:	愚か	:	おろか	:	어리석음, 불필요함	:	noun
1	:	卸売	:	おろしうり	:	도매	:	noun
1	:	温和	:	おんわ	:	온화, 따뜻하고 고름	:	noun
1	:	改悪	:	かいあく	:	개악	:	noun
1	:	海運	:	かいうん	:	해운	:	noun
1	:	改革	:	かいかく	:	개혁	:	noun
1	:	貝殻	:	かいがら	:	패각, 조가비, 조개 껍데기	:	noun
1	:	階級	:	かいきゅう	:	계급	:	noun
1	:	海峡	:	かいきょう	:	해협	:	noun
1	:	解雇	:	かいこ	:	해고	:	noun
1	:	介護	:	かいご	:	개호, 간호	:	noun
1	:	改修	:	かいしゅう	:	개수, 수리	:	noun
1	:	怪獣	:	かいじゅう	:	괴수	:	noun
1	:	解除	:	かいじょ	:	해제	:	noun
1	:	階層	:	かいそう	:	계층, 건물의 각 층	:	noun
1	:	回送·廻送	:	かいそう	:	회송	:	noun
1	:	開拓	:	かいたく	:	개척	:	noun
1	:	会談	:	かいだん	:	회담	:	noun
1	:	怪談	:	かいだん	:	괴담	:	noun
1	:	改定	:	かいてい	:	개정	:	noun
1	:	改訂	:	かいてい	:	개정	:	noun
1	:	街道	:	かいどう	:	가도, 중요한 도로	:	noun
1	:	介入	:	かいにゅう	:	개입	:	noun
1	:	開発	:	かいはつ	:	개발	:	noun
1	:	海抜	:	かいばつ	:	해발, 표고	:	noun
1	:	回避	:	かいひ	:	회피	:	noun
1	:	介抱	:	かいほう	:	병구완, 간호, 돌봄, 보호	:	noun
1	:	解剖	:	かいぼう	:	해부	:	noun
1	:	回覧·廻覧	:	かいらん	:	회람, 유람	:	noun
1	:	海流	:	かいりゅう	:	해류	:	noun
1	:	改良	:	かいりょう	:	개량	:	noun
1	:	海路	:	かいろ	:	해로, 뱃길, 배 여행	:	noun
1	:	回路	:	かいろ	:	회로	:	noun
1	:	踵	:	かかと	:	발뒤꿈치, 신뒤축	:	noun
1	:	掛(か)り付け	:	かかりつけ	:	단골손님	:	noun
1	:	課外	:	かがい	:	과외	:	noun
1	:	核	:	かく	:	핵, 사물의 중심, 핵심	:	noun
1	:	格	:	かく	:	격, 가치·지위 등의 단계	:	noun
1	:	角	:	かく	:	모난 것, 각, 각도	:	noun
1	:	格差	:	かくさ	:	격차	:	noun
1	:	拡散	:	かくさん	:	확산, 퍼져서 흩어짐	:	noun
1	:	各種	:	かくしゅ	:	각종, 여러 가지 종류	:	noun
1	:	隔週	:	かくしゅう	:	격주	:	noun
1	:	革新	:	かくしん	:	혁신	:	noun
1	:	確信	:	かくしん	:	확신	:	noun
1	:	確定	:	かくてい	:	확정	:	noun
1	:	獲得	:	かくとく	:	획득	:	noun
1	:	革命	:	かくめい	:	혁명	:	noun
1	:	確立	:	かくりつ	:	확립	:	noun
1	:	賭	:	かけ	:	내기, 도박, 큰 모험	:	noun
1	:	掛け	:	かけ	:	걺, 거는 것	:	noun
1	:	駆(け)足·駈(け)足	:	かけあし	:	뛰어감, 구보	:	noun
1	:	家計	:	かけい	:	가계, 생계	:	noun
1	:	駆けっこ·駈けっこ	:	かけっこ	:	달리기, 경주	:	noun
1	:	駆(け)引き·駆引·駈(け)引き	:	かけひき	:	흥정, 상술	:	noun
1	:	下限	:	かげん	:	하한	:	noun
1	:	化合	:	かごう	:	화합	:	noun
1	:	頭	:	かしら	:	머리, 두부, 두목, 우두머리	:	noun
1	:	箇条書(き)·個条書(き)	:	かじょうがき	:	조목별로 씀, 또, 그 쓴 것	:	noun
1	:	火星	:	かせい	:	화성	:	noun
1	:	化石	:	かせき	:	화석, 돌로 변함, 돌이 됨	:	noun
1	:	化繊	:	かせん	:	화섬	:	noun
1	:	過疎	:	かそ	:	과소, 지나치게 드묾	:	noun
1	:	片	:	かた	:	둘 중의 한쪽	:	noun
1	:	片思い	:	かたおもい	:	짝사랑	:	noun
1	:	片言	:	かたこと	:	서투른 말씨, 한쪽 말	:	noun
1	:	片隅	:	かたすみ	:	한쪽 구석	:	noun
1	:	片付け	:	かたづけ	:	정돈, 정리, 치움	:	noun
1	:	傍ら	:	かたわら	:	곁, 옆, …함과 동시에, 한편	:	noun
1	:	荷担·加担	:	かたん	:	짐을 짐, 가담함	:	noun
1	:	花壇	:	かだん	:	화단, 꽃밭	:	noun
1	:	家畜	:	かちく	:	가축	:	noun
1	:	画期·劃期	:	かっき	:	획기	:	noun
1	:	金づち·金槌	:	かなづち	:	쇠망치, 수영을 못함	:	noun
1	:	加入	:	かにゅう	:	가입	:	noun
1	:	過敏	:	かびん	:	과민	:	noun
1	:	花粉	:	かふん	:	화분, 꽃가루	:	noun
1	:	株式	:	かぶしき	:	주식	:	noun
1	:	株主	:	かぶぬし	:	주주	:	noun
1	:	貨幣	:	かへい	:	화폐	:	noun
1	:	加味	:	かみ	:	가미	:	noun
1	:	過密	:	かみつ	:	과밀, 빽빽함	:	noun
1	:	体つき	:	からだつき	:	몸매	:	noun
1	:	狩(り)·猟(り)	:	かり	:	사냥, 채집	:	noun
1	:	借り	:	かり	:	빌림, 또, 빌린 것	:	noun
1	:	過労	:	かろう	:	과로	:	noun
1	:	勘	:	かん	:	직감력, 육감	:	noun
1	:	官	:	かん	:	관, 벼슬, …관	:	noun
1	:	管	:	かん	:	관, 피리 따위를 세는 말	:	noun
1	:	観	:	かん	:	외관, 모양, 견해, 관점	:	noun
1	:	簡易	:	かんい	:	간이	:	noun
1	:	間隔	:	かんかく	:	간격	:	noun
1	:	灌漑	:	かんがい	:	관개	:	noun
1	:	完結	:	かんけつ	:	완결	:	noun
1	:	簡潔	:	かんけつ	:	간결	:	noun
1	:	還元	:	かんげん	:	환원	:	noun
1	:	刊行	:	かんこう	:	간행	:	noun
1	:	慣行	:	かんこう	:	관행, 관례	:	noun
1	:	勧告	:	かんこく	:	권고, →せっとく	:	noun
1	:	看護	:	かんご	:	간호	:	noun
1	:	漢語	:	かんご	:	한어, 중국어	:	noun
1	:	換算	:	かんさん	:	환산	:	noun
1	:	慣習	:	かんしゅう	:	관습	:	noun
1	:	観衆	:	かんしゅう	:	관중	:	noun
1	:	干渉	:	かんしょう	:	간섭, 참견	:	noun
1	:	感触	:	かんしょく	:	감촉, 촉감	:	noun
1	:	感受性	:	かんじゅせい	:	감수성	:	noun
1	:	勘定	:	かんじょう	:	계산, 셈	:	noun
1	:	肝心·肝腎	:	かんじん	:	긴요함	:	noun
1	:	歓声	:	かんせい	:	환성, 환호성	:	noun
1	:	感染	:	かんせん	:	감염	:	noun
1	:	幹線	:	かんせん	:	간선	:	noun
1	:	関税	:	かんぜい	:	관세	:	noun
1	:	簡素	:	かんそ	:	간소	:	noun
1	:	寛大	:	かんだい	:	관대	:	noun
1	:	観点	:	かんてん	:	관점	:	noun
1	:	感度	:	かんど	:	감도	:	noun
1	:	幹部	:	かんぶ	:	간부	:	noun
1	:	勘弁	:	かんべん	:	용서함	:	noun
1	:	完璧	:	かんぺき	:	완벽	:	noun
1	:	感無量	:	かんむりょう	:	감개무량	:	noun
1	:	勧誘	:	かんゆう	:	권유	:	noun
1	:	関与·干与	:	かんよ	:	관여	:	noun
1	:	肝要	:	かんよう	:	간요, 긴요	:	noun
1	:	寛容	:	かんよう	:	관용	:	noun
1	:	観覧	:	かんらん	:	관람	:	noun
1	:	官僚	:	かんりょう	:	관료	:	noun
1	:	慣例	:	かんれい	:	관례	:	noun
1	:	還暦	:	かんれき	:	환력, 환갑	:	noun
1	:	貫禄	:	かんろく	:	관록	:	noun
1	:	緩和	:	かんわ	:	완화	:	noun
1	:	外貨	:	がいか	:	외화, 외국 물품	:	noun
1	:	外観	:	がいかん	:	외관	:	noun
1	:	外相	:	がいしょう	:	외상, 외무 장관	:	noun
1	:	概説	:	がいせつ	:	개설	:	noun
1	:	害虫	:	がいちゅう	:	해충	:	noun
1	:	街頭	:	がいとう	:	가두, 길거리, 노상	:	noun
1	:	該当	:	がいとう	:	해당	:	noun
1	:	概念	:	がいねん	:	개념	:	noun
1	:	概要	:	がいよう	:	개요	:	noun
1	:	外来	:	がいらい	:	외래, 외지·외국에서 옴	:	noun
1	:	概略	:	がいりゃく	:	개략, 대략	:	noun
1	:	額	:	がく	:	액, 액수, 금액, 편액, 액자	:	noun
1	:	学芸	:	がくげい	:	학예	:	noun
1	:	学士	:	がくし	:	학사	:	noun
1	:	学説	:	がくせつ	:	학설	:	noun
1	:	楽譜	:	がくふ	:	악보	:	noun
1	:	学歴	:	がくれき	:	학력	:	noun
1	:	崖·厓	:	がけ	:	낭떠러지, 벼랑, 절벽	:	noun
1	:	合唱	:	がっしょう	:	합창, →せいしょう	:	noun
1	:	合致	:	がっち	:	합치, 일치	:	noun
1	:	合併	:	がっぺい	:	합병	:	noun
1	:	眼科	:	がんか	:	안과	:	noun
1	:	眼球	:	がんきゅう	:	안구, 눈알	:	noun
1	:	玩具	:	がんぐ	:	완구, 장난감	:	noun
1	:	頑固	:	がんこ	:	완고, 외고집, 끈질김	:	noun
1	:	願書	:	がんしょ	:	원서, 특히, 입학 원서	:	noun
1	:	頑丈·岩乗·岩畳	:	がんじょう	:	완장, 옹골참	:	noun
1	:	岩石	:	がんせき	:	암석	:	noun
1	:	元旦	:	がんたん	:	원단, 설날	:	noun
1	:	元年	:	がんねん	:	원년, 연호의 첫해	:	noun
1	:	器械	:	きかい	:	기계, →きかい	:	noun
1	:	企画·企劃	:	きかく	:	기획	:	noun
1	:	規格	:	きかく	:	규격	:	noun
1	:	器官	:	きかん	:	기관	:	noun
1	:	季刊	:	きかん	:	계간	:	noun
1	:	危害	:	きがい	:	위해	:	noun
1	:	気兼(ね)	:	きがね	:	사양, 어렵게 여김, 스스러움	:	noun
1	:	効き目·利き目	:	ききめ	:	효력, 효과, 효능	:	noun
1	:	帰京	:	ききょう	:	귀경, 서울로 돌아옴	:	noun
1	:	基金	:	ききん	:	기금	:	noun
1	:	危惧	:	きぐ	:	위구, 걱정하고 두려워함	:	noun
1	:	棄権	:	きけん	:	기권	:	noun
1	:	喜劇	:	きげき	:	희극	:	noun
1	:	起源·起原	:	きげん	:	기원	:	noun
1	:	機構	:	きこう	:	기구	:	noun
1	:	既婚	:	きこん	:	기혼	:	noun
1	:	記載	:	きさい	:	기재	:	noun
1	:	兆し·萌し	:	きざし	:	조짐, 징조, 전조	:	noun
1	:	気質	:	きしつ	:	기질	:	noun
1	:	気象	:	きしょう	:	기상, 심적 경향	:	noun
1	:	気性	:	きしょう	:	타고난 성질, 천성, 기질	:	noun
1	:	期日	:	きじつ	:	기일	:	noun
1	:	記述	:	きじゅつ	:	기술	:	noun
1	:	奇跡·奇蹟	:	きせき	:	기적	:	noun
1	:	汽船	:	きせん	:	기선	:	noun
1	:	寄贈	:	きぞう	:	기증, 증정	:	noun
1	:	貴族	:	きぞく	:	귀족	:	noun
1	:	気だて·気立て	:	きだて	:	심지, 마음씨	:	noun
1	:	几帳面	:	きちょうめん	:	착실하고 꼼꼼한, 차근차근	:	noun
1	:	規定	:	きてい	:	규정	:	noun
1	:	機転·気転	:	きてん	:	기지, 재치, 임기응변	:	noun
1	:	起点	:	きてん	:	기점, 출발점	:	noun
1	:	軌道	:	きどう	:	궤도	:	noun
1	:	規範·軌範	:	きはん	:	규범, 모범, 궤범	:	noun
1	:	気品	:	きひん	:	기품	:	noun
1	:	気風	:	きふう	:	기풍, 기질	:	noun
1	:	起伏	:	きふく	:	기복	:	noun
1	:	気まぐれ·気紛れ	:	きまぐれ	:	변덕, 일시적 생각	:	noun
1	:	生真面目	:	きまじめ	:	고지식함, 진국, 올곧음	:	noun
1	:	期末	:	きまつ	:	기말	:	noun
1	:	記名	:	きめい	:	기명	:	noun
1	:	決め手·極め手	:	きめて	:	결정하는 사람	:	noun
1	:	脚色	:	きゃくしょく	:	각색	:	noun
1	:	脚本	:	きゃくほん	:	각본	:	noun
1	:	花車·華奢·華車	:	きゃしゃ	:	기품있게 연약함, 가냘픔	:	noun
1	:	却下	:	きゃっか	:	각하, 기각	:	noun
1	:	客観	:	きゃっかん	:	객관	:	noun
1	:	規約	:	きやく	:	규약	:	noun
1	:	救援	:	きゅうえん	:	구원	:	noun
1	:	休学	:	きゅうがく	:	휴학	:	noun
1	:	救急	:	きゅうきゅう	:	구급	:	noun
1	:	究極·窮極	:	きゅうきょく	:	구극, 궁극	:	noun
1	:	窮屈	:	きゅうくつ	:	거북함, 갑갑함, 답답함	:	noun
1	:	球根	:	きゅうこん	:	구근	:	noun
1	:	救済	:	きゅうさい	:	구제	:	noun
1	:	給仕	:	きゅうじ	:	잔심부름(을 하는 사람)	:	noun
1	:	休戦	:	きゅうせん	:	휴전	:	noun
1	:	急速	:	きゅうそく	:	급속	:	noun
1	:	旧知	:	きゅうち	:	구지, 구면	:	noun
1	:	宮殿	:	きゅうでん	:	궁전, 대궐, 신을 모신 사당	:	noun
1	:	窮乏	:	きゅうぼう	:	궁핍	:	noun
1	:	丘陵	:	きゅうりょう	:	구릉, 언덕	:	noun
1	:	強	:	きょう	:	강, 세력이 강함	:	noun
1	:	脅威	:	きょうい	:	위협	:	noun
1	:	驚異	:	きょうい	:	경이	:	noun
1	:	教科	:	きょうか	:	교과	:	noun
1	:	協会	:	きょうかい	:	협회	:	noun
1	:	恐喝·脅喝	:	きょうかつ	:	공갈	:	noun
1	:	共感	:	きょうかん	:	공감, 동감	:	noun
1	:	共学	:	きょうがく	:	공학	:	noun
1	:	協議	:	きょうぎ	:	협의	:	noun
1	:	教訓	:	きょうくん	:	교훈	:	noun
1	:	境遇	:	きょうぐう	:	경우, 처지, 형편	:	noun
1	:	強行	:	きょうこう	:	강행	:	noun
1	:	凶作	:	きょうさく	:	흉작	:	noun
1	:	教材	:	きょうざい	:	교재, 교육 재료	:	noun
1	:	郷愁	:	きょうしゅう	:	향수	:	noun
1	:	教習	:	きょうしゅう	:	교습	:	noun
1	:	教職	:	きょうしょく	:	교직	:	noun
1	:	享受	:	きょうじゅ	:	향수, 풍류를 즐김	:	noun
1	:	強制	:	きょうせい	:	강제	:	noun
1	:	共存	:	きょうぞん	:	공존	:	noun
1	:	協定	:	きょうてい	:	협정	:	noun
1	:	郷土	:	きょうど	:	향토	:	noun
1	:	脅迫	:	きょうはく	:	협박, 위협함	:	noun
1	:	共鳴	:	きょうめい	:	공명	:	noun
1	:	郷里	:	きょうり	:	향리, 고향	:	noun
1	:	共和	:	きょうわ	:	공화	:	noun
1	:	局限	:	きょくげん	:	국한	:	noun
1	:	極端	:	きょくたん	:	극단	:	noun
1	:	局面	:	きょくめん	:	국면	:	noun
1	:	居住	:	きょじゅう	:	거주	:	noun
1	:	拒絶	:	きょぜつ	:	거절, 거부	:	noun
1	:	拒否	:	きょひ	:	거부	:	noun
1	:	許容	:	きょよう	:	허용	:	noun
1	:	寄与	:	きよ	:	기여, 이바지함, 공헌	:	noun
1	:	切り	:	きり	:	일, 단락, 한도	:	noun
